B.Com. (Honours/Honours with Research)   (4 Years )
B.Com. (Hons)   (3 Years )
B.Com. (Hons) - (Accounting and Finance) Integrated with ACCA   (4 Years )
B.Com. (Hons) - Banking & Capital Markets   (3 Years )
B.Com. (Hons) - Financial Analytics   (4 Years )
B. Des. (Fashion Communication)   (4 Years )
B. Des. (Fashion Design)   (4 Years )
B. Des. (Fashion Design) - 3 Continent   (4 Years )
B. Des. (Fashion Styling & Image Design)   (4 Years )
B. Des. (Fashion Technology)   (4 Years )
B. Des. (Product Design)   (4 Years )
B. Des. (Textile Design)   (4 Years )
B. Des. (Textile Product Design)   (4 Years )
B.Des. (User Experience Design)   (4 Years )
B.Ed.   (2 Years )
B.Ed. - Special Education (Autism Spectrum Disorder)   (2 Years )
B.Ed. Special Education (Intellectual Disability)   (2 Years )
B.Ed. - Special Education (Learning Disability)   (2 Years )
B.El.Ed. (Bachelor of Elementary Education)   (4 Years )
BFA (Animation)   (4 Years )
BFA (Visual Communication)   (4 Years )
B.P. Ed. (Bachelor of Physical Education)   (2 Years )
B.Sc. (Actuarial Science)   (3 Years )
B.Sc. (Actuarial Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Agriculture) (Honours/Honours with Research)   (4 Years )
B.Sc.(Animation | Game Design)   (3 Years )
B.Sc. (Animation & VFX)   (3 Years )
B.Sc. (Animation & VFX) (Honours/Honours with Research)   (4 Years )
B.Sc. - Animation & Visual Graphics   (3 Years )
B.Sc. (Animation & Visual Graphics) (Honours/Honours with Research)   (4 Years )
B.Sc. (Anthropology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Applied Psychology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Artificial Intelligence & Data Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Biochemistry) (Honours/Honours with Research)   (4 Years )
B.Sc. (Biological Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Biology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Biomedical Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Biotechnology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Botany) (Honours/Honours with Research)   (4 Years )
B.Sc. (Chemistry) (Honours/Honours with Research)   (4 Years )
B.Sc. (Clinical Psychology)   (3 Years )
B.Sc. (Clinical Psychology) (Honours/Honours with Research)   (4 Years )
B.Sc. Clinical Psychology (Hons.)   (4 Years )
"B.Sc. (Computer Science, Mathematics, & Statistics)   (3 Years )"
B.Sc. (Computer Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Data Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Dietetics & Applied Nutrition)   (3 Years )
B.Sc. (Dietetics & Applied Nutrition) (Honours/Honours with Research)   (4 Years )
B.Sc. (Economics)   (3 Years )
"B.Sc. (Economics, Mathematics & Statistics)   (3 Years )"
B.Sc. (Economics) (Honours/Honours with Research)   (4 Years )
B.Sc. (Environmental Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Environmental Sciences)   (3 Years )
B.Sc. - Forensic Sciences   (3 Years )
B.Sc. (Forensic Sciences) (Honours/Honours with Research)   (4 Years )
B.Sc. (Forestry) (Honours/Honours with Research)   (4 Years )
B.Sc. (General) (Honours/Honours with Research)   (4 Years )
B.Sc. (Geography) (Honours/Honours with Research)   (4 Years )
B.Sc. (Geo-Informatics)   (3 Years )
B.Sc. (Geo-Informatics) (Honours/Honours with Research)   (4 Years )
B.Sc. (Hons) - Anthropology   (3 Years )
B.Sc(Hons) Bio-Informatics   (3 Years )
B.Sc. (Hons) - Biotechnology   (3 Years )
B.Sc. (Hons) - Biotechnology (International)   (3 Years )
B.Sc. (Hons) Biotechnology + MBA(Dual Degree)   (5 Years )
B.Sc. (Hons) - Chemistry   (3 Years )
B.Sc. (Hons) - Data Science   (3 Years )
B.Sc. (Hons) - Forensic Sciences   (3 Years )
B.Sc. (Hons) - Geography   (3 Years )
B.Sc-(Hons)Human Genetics and molecular medicine   (3 Years )
B.Sc. (Hons) Life Sciences   (3 Years )
B.Sc. (Hons) - Marine Science   (3 Years )
B.Sc. (Hons) - Mathematics   (3 Years )
B.Sc. (Hons) - Medical Biotechnology   (3 Years )
B.Sc. (Hons) - Microbiology   (3 Years )
B.Sc. (Hons) - Neurosciences   (3 Years )
B.Sc. (Hons)(Nutrition & Dietetics)   (3 Years )
B.Sc. (Hons) - Physics   (3 Years )
B.Sc. (Hons.) – Statistics   (3 Years )
B.Sc. (Hons) - Yoga   (3 Years )
B.Sc. (Hons) - Zoology   (3 Years )
B.Sc. (International)   (4 Years )
B.Sc. (IT)   (3 Years )
B.Sc. - (IT) (Artificial Intelligence & Data Science) (Honours/Honours with Research)   (4 Years )
B.Sc. - (IT) (Artificial Intelligence & Data Science / Network Security / Programming Software Engineering / Game Design & Development / Mobile Application Development) (Honours/Honours with Research)   (4 Years )
B.Sc. (IT) (Honours/Honours with Research)   (4 Years )
B.Sc. (Life Science) (Honours/Honours with Research)   (4 Years )
B.Sc. (Marine Science) (Honours/Honours with Research)   (4 Years )
B.Sc (Mathematics) (Honours/Honours with Research)   (4 Years )
B.Sc. (Medical Biotechnology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Medical Lab Technology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Medical Microbiology and Immunology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Medical Physiology)   (3 Years )
B.Sc. (Medical Physiology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Microbiology) (Honours/Honours with Research)   (4 Years )
B.Sc. (Molecular Medicine & Stem Cell Technologies) (Honours/Honours with Research)   (4 Years )
B.Sc. + M.Sc. - Biotechnology (Dual Degree)   (5 Years )
B.Sc. + M.Sc. (Hons) Forensic Sciences - Integrated   (5 Years )
B.Sc. (Multimedia & Gaming)   (3 Years )
B.Sc. (Nanoscience) (Honours/Honours with Research)   (4 Years )
B.Sc. (Neurosciences) (Honours/Honours with Research)   (4 Years )
B.Sc. (Nursing)   (4 Years )
